radiant_win,rhero1,rhero2,rhero3,rhero4,rhero5,dhero1,dhero2,dhero3,dhero4,dhero5
0,11,73,16,100,5,59,114,34,30,105
1,40,44,83,33,62,93,82,97,107,48
1,67,7,87,35,51,80,68,70,100,9
0,51,30,67,46,129,123,32,97,12,74
0,10,21,65,129,110,8,99,75,37,126
1,29,113,70,39,14,106,93,31,26,16
0,26,105,44,77,92,25,1,11,7,68
1,5,36,32,138,54,86,56,74,104,19
1,16,35,128,77,68,53,20,52,101,29
1,98,51,138,6,21,109,9,96,102,10
0,23,100,138,63,10,14,84,8,69,86
1,102,7,50,138,56,8,64,27,75,38
1,88,22,20,108,93,27,138,135,12,86
1,36,76,67,7,101,112,26,45,52,136
1,7,106,86,12,100,23,126,4,63,14
1,72,111,19,114,96,18,32,104,5,1
1,13,9,1,53,112,6,35,129,82,86
1,35,95,5,59,1,41,84,26,76,129
1,19,8,59,84,71,107,11,104,50,36
1,11,85,86,36,135,9,102,22,67,31
1,83,72,29,77,70,37,67,107,1,129
1,59,36,55,84,6,44,9,34,14,102
0,80,30,138,14,26,83,103,89,50,106
0,9,50,44,10,96,135,126,72,102,1
1,137,50,30,22,11,1,135,14,71,97
1,104,105,42,50,22,41,128,14,110,129
1,29,8,65,66,9,49,137,62,34,64
1,18,64,26,32,138,93,73,63,71,22
0,36,114,106,100,35,14,108,1,102,129
0,97,44,136,17,53,106,22,9,93,28
0,5,36,14,67,78,44,30,113,97,86
0,6,71,126,50,12,8,85,135,110,136
1,138,4,101,78,104,26,41,83,102,35
0,59,114,105,14,26,84,72,77,46,97
1,28,84,54,19,123,30,104,41,101,98
0,8,35,72,16,68,75,63,47,78,100
1,7,2,83,1,82,61,90,12,75,104
1,63,33,27,64,126,123,104,138,90,34
0,14,6,73,102,21,64,104,99,110,8
0,63,4,69,64,113,102,123,14,74,27
0,72,106,120,110,1,98,104,93,84,138
0,35,135,42,44,14,64,63,41,27,97
0,93,54,64,56,57,11,84,63,128,111
1,104,86,51,42,106,90,1,32,43,21
1,43,45,128,93,100,21,41,14,30,49
1,75,35,27,16,11,42,5,8,44,76
1,50,28,56,64,48,62,36,83,6,84
0,84,87,23,8,108,43,44,107,9,30
1,27,6,11,54,30,73,39,104,71,110
1,64,113,84,44,29,54,85,45,7,49
1,86,42,110,102,9,137,5,128,60,8
0,5,20,138,104,11,48,123,14,21,99
0,55,42,86,56,14,34,72,93,57,2
1,135,53,138,108,82,14,114,1,26,30
0,59,6,21,74,7,101,109,119,90,104
1,11,44,86,135,74,99,101,23,97,12
1,138,5,19,44,104,8,1,52,76,45
0,9,89,37,33,128,43,16,35,49,47
1,6,31,100,104,128,60,13,138,8,97
1,129,5,34,84,6,73,119,72,10,62
0,32,48,86,25,30,39,54,14,28,5
0,96,123,64,13,56,83,101,59,14,11
0,19,7,108,11,83,17,84,123,31,10
1,136,104,9,31,14,100,17,73,67,7
0,36,21,18,54,50,35,12,58,5,14
0,10,36,14,50,101,138,30,2,42,121
0,128,7,22,109,79,76,105,44,58,102
1,68,32,74,31,70,80,96,91,44,14
1,22,104,40,93,74,7,30,1,13,26
0,76,1,128,86,7,70,101,98,73,71
1,27,76,39,35,95,86,1,2,97,19
1,33,54,62,71,47,74,7,101,21,113
1,71,87,1,35,85,137,86,66,114,44
0,70,11,104,50,47,93,35,75,16,2
1,97,83,8,96,39,36,75,106,138,14
1,82,20,80,85,86,73,9,31,137,109
0,62,21,109,137,26,48,64,106,71,47
1,6,86,93,96,30,71,75,10,16,104
0,137,43,74,11,30,8,16,64,17,32
0,135,44,30,28,128,74,86,83,7,1
0,120,101,71,138,129,81,123,8,56,5
0,6,99,138,75,128,80,20,14,97,104
0,101,138,53,90,35,137,64,10,21,47
1,2,62,35,128,67,22,40,27,41,89
0,10,7,119,128,27,86,4,22,5,89
1,68,22,109,2,62,11,138,53,16,126
1,9,138,36,82,5,100,70,91,39,83
0,75,27,28,36,12,102,43,16,123,83
0,136,6,14,11,26,85,121,86,126,89
0,73,56,50,104,26,98,64,54,101,81
0,114,8,17,87,104,94,26,86,100,75
1,41,14,138,76,101,54,17,74,19,104
1,50,6,86,72,102,7,33,5,44,75
0,73,75,87,13,112,90,1,33,99,114
0,14,135,1,120,100,96,34,123,42,19
0,62,9,35,15,30,44,23,19,85,21
1,9,104,41,14,37,1,77,97,85,35
1,83,56,54,128,14,1,74,28,26,123
0,36,40,11,51,109,123,137,98,18,30
0,50,97,51,19,70,59,7,43,67,105
0,32,55,14,80,86,108,9,41,30,114
1,114,22,135,26,30,106,73,91,5,96
0,105,67,85,19,74,54,137,17,6,91
1,76,119,40,97,41,14,138,37,44,100
1,21,104,1,14,50,61,18,44,13,114
1,7,1,105,80,50,71,31,74,41,108
1,105,59,45,54,104,8,5,23,37,14
0,23,26,42,27,70,105,11,31,93,60
0,137,86,26,120,37,1,32,129,39,112
1,75,44,48,14,100,78,27,33,53,32
1,1,59,113,14,50,32,53,99,6,93
0,73,36,28,27,1,26,44,30,97,2
0,72,8,62,31,26,86,94,5,19,41
1,41,84,76,104,101,36,59,102,86,44
0,90,85,68,138,64,99,40,26,1,39
1,81,30,28,83,75,31,82,11,16,36
0,56,10,102,27,37,30,104,65,48,101
1,100,59,29,44,85,42,31,53,8,84
1,72,97,138,73,1,42,30,46,100,129
0,53,102,136,97,27,76,28,44,26,62
0,31,114,9,69,52,63,51,30,17,93
1,102,90,104,7,1,84,19,22,95,136
0,22,7,8,128,62,1,138,87,85,5
0,10,49,62,60,56,129,71,93,57,74
1,30,19,21,43,41,59,78,27,22,10
1,6,119,104,65,20,81,12,17,62,128
0,105,71,93,6,42,123,9,120,96,56
1,8,128,28,52,86,85,1,2,21,87
0,8,76,123,7,5,96,30,113,57,102
0,41,68,14,86,11,93,91,136,19,1
0,23,14,37,97,101,51,42,136,36,128
0,70,9,121,23,13,6,119,108,30,75
1,64,44,67,121,49,31,36,105,38,48
0,64,27,54,107,14,36,81,19,59,121
1,72,32,10,104,110,8,21,53,7,39
1,36,14,26,93,10,31,7,114,59,44
1,75,6,104,79,64,11,41,20,14,62
0,21,79,4,72,86,101,74,99,1,37
1,138,1,69,120,100,129,46,71,75,8
0,11,26,59,6,71,136,135,105,100,44
1,72,70,64,1,74,17,20,15,11,10
0,53,35,6,64,49,22,23,19,100,46
0,85,41,53,56,30,36,62,31,10,46
1,25,50,11,2,75,6,27,13,99,138
0,126,104,35,20,67,75,78,82,31,114
0,96,82,53,105,128,66,74,104,30,62
1,71,86,98,44,26,6,75,105,83,19
1,91,101,80,46,48,55,5,36,8,14
1,78,71,42,68,44,72,41,137,87,136
0,107,50,6,97,35,106,9,49,41,30
0,86,84,14,44,17,9,50,99,6,65
0,23,121,15,104,7,128,41,26,35,51
1,105,99,49,64,72,73,14,35,114,111
1,73,9,54,84,57,14,86,104,30,44
0,64,105,60,6,45,71,25,12,90,95
1,1,40,89,75,36,83,138,50,128,63
0,2,44,64,37,11,83,136,120,9,8
0,104,35,128,10,81,4,1,101,44,31
0,41,14,35,34,74,60,86,1,19,85
0,135,6,26,97,94,72,32,17,34,119
0,100,1,105,2,17,74,59,45,104,31
1,35,85,135,41,101,84,48,74,137,121
1,39,57,101,104,67,21,47,78,6,64
1,1,21,88,64,7,76,135,30,14,41
1,28,37,8,34,71,41,123,35,50,16
1,40,36,30,6,129,21,81,22,32,100
0,73,8,101,64,11,1,22,17,53,123
1,53,70,110,119,17,85,74,2,8,62
1,53,48,11,40,84,26,8,37,75,42
1,74,5,137,106,30,101,43,86,138,70
0,35,71,103,113,106,44,36,123,30,9
1,71,14,5,41,25,30,16,114,36,31
1,37,68,44,21,82,1,114,35,2,27
1,52,41,66,10,7,137,128,22,11,65
0,59,54,71,30,99,6,26,85,10,44
1,52,75,54,135,9,128,22,98,31,94
1,53,83,20,108,138,76,7,69,87,48
1,121,13,104,14,70,59,51,135,87,54
0,23,44,128,33,75,138,137,14,64,12
0,86,2,19,97,44,50,136,13,41,84
0,17,108,120,21,73,34,16,54,9,13
0,32,34,63,1,56,49,62,90,94,36
1,70,111,129,128,82,46,53,67,14,42
0,123,96,10,54,57,93,75,7,97,111
0,7,36,30,138,56,28,101,21,1,5
1,37,129,93,5,123,135,138,14,27,41
1,30,72,56,28,120,34,14,59,98,110
0,106,5,84,18,9,85,25,62,86,48
0,70,30,9,71,52,138,35,23,99,111
0,75,2,102,72,11,15,96,30,85,44
1,85,53,104,75,56,11,137,30,15,23
0,39,29,9,26,15,7,110,47,30,138
0,41,21,84,30,98,85,34,51,70,86
1,59,8,102,5,9,42,105,106,84,10
1,46,47,101,64,4,75,21,41,36,71
1,96,14,12,34,85,51,92,44,119,104
1,83,86,14,99,41,95,119,6,101,31
1,80,34,14,93,91,31,67,104,126,86
0,26,35,113,8,138,32,119,11,82,49
0,31,36,59,100,2,86,8,80,129,11
0,113,85,33,27,119,21,2,70,71,75
0,9,22,1,64,96,40,73,106,19,101
0,50,123,97,54,77,14,73,30,27,135
1,21,56,23,8,35,30,100,36,67,12
0,107,137,34,44,121,119,1,64,104,21
0,39,49,5,71,138,30,106,123,137,94
