radiant_win,rhero1,rhero2,rhero3,rhero4,rhero5,dhero1,dhero2,dhero3,dhero4,dhero5
0,11,17,54,66,43,114,137,5,59,105
1,64,21,84,4,129,108,19,16,97,31
0,35,50,81,17,98,88,54,52,30,38
1,14,83,8,106,98,30,99,76,21,100
1,9,120,75,106,109,65,21,128,1,26
1,82,67,128,30,104,86,93,81,85,39
0,85,93,42,35,128,37,34,32,1,45
1,10,75,36,102,112,29,50,31,19,44
1,75,54,36,31,23,100,8,101,87,97
1,49,6,90,36,85,22,75,96,68,136
0,80,36,42,48,77,8,91,102,104,5
1,54,119,128,97,9,14,85,83,11,96
1,35,93,2,75,20,107,7,106,96,138
1,100,47,62,98,81,28,120,90,6,26
1,128,101,39,16,1,14,11,67,108,27
1,21,36,4,80,104,44,26,99,126,7
1,51,37,14,128,93,4,10,96,86,26
1,88,35,1,16,72,69,93,26,86,138
0,106,59,41,121,45,75,14,120,54,7
0,68,1,2,138,30,35,112,6,31,135
1,30,41,81,14,85,114,64,54,104,80
1,50,27,98,44,54,84,62,108,18,94
0,128,5,47,13,70,1,77,104,58,32
1,37,2,82,101,6,26,28,13,76,41
0,21,99,26,70,11,86,128,43,76,6
0,89,75,21,28,101,7,6,72,126,106
0,11,19,100,30,93,9,75,32,14,129
0,54,6,106,26,53,63,72,22,42,84
0,46,27,81,49,21,80,10,26,84,47
1,44,97,27,88,16,51,114,108,4,26
1,29,51,72,1,53,9,26,75,93,48
0,46,16,2,104,75,8,45,21,39,29
1,86,136,11,123,16,84,44,120,36,26
0,55,39,14,22,41,37,5,104,1,13
1,82,106,50,53,135,1,94,81,65,43
1,83,6,90,96,14,5,137,1,63,32
0,12,100,26,104,76,1,37,7,17,42
1,101,123,64,11,114,100,105,86,46,2
0,26,95,14,75,97,129,8,86,87,22
1,36,138,95,27,105,47,1,37,62,104
1,14,94,74,67,2,62,19,35,1,47
0,97,14,11,6,31,84,76,70,68,96
1,29,59,7,41,26,86,58,1,11,2
1,48,87,75,104,21,91,41,73,46,74
0,14,26,77,64,93,104,101,67,37,46
1,82,64,21,14,54,129,120,119,86,12
1,68,44,119,55,114,73,50,35,1,101
0,129,19,9,42,105,70,27,1,96,34
1,105,38,15,13,83,87,65,79,81,53
1,73,21,68,38,14,74,114,70,86,35
1,73,17,26,32,14,59,64,123,54,104
1,44,11,5,40,85,128,60,48,19,30
0,86,81,36,11,83,53,95,5,98,137
1,104,27,93,123,56,7,65,38,121,86
1,9,126,14,59,109,73,51,66,138,28
1,26,96,76,138,23,60,123,32,41,74
1,49,47,72,76,5,99,83,6,93,11
0,107,74,72,11,28,34,35,26,32,101
