radiant_win,rhero1,rhero2,rhero3,rhero4,rhero5,dhero1,dhero2,dhero3,dhero4,dhero5
1,86,51,83,11,67,106,102,46,7,73
0,7,82,71,39,21,73,22,5,67,106
0,51,109,9,41,27,38,7,10,12,85
0,50,44,32,26,39,78,19,31,40,47
1,8,39,55,87,69,101,100,22,67,21
1,32,27,67,106,71,28,107,62,84,11
1,20,8,67,69,100,30,41,102,85,11
1,53,44,96,14,74,93,30,35,21,26
0,44,28,85,22,30,71,93,46,18,39
0,58,28,44,86,39,36,26,74,48,14
1,35,50,44,69,29,14,103,72,56,30
0,94,28,3,11,50,40,75,46,96,104
0,93,74,22,101,41,105,21,1,7,18
1,81,100,25,63,32,6,60,74,7,21
1,75,1,44,7,28,100,22,105,32,33
0,20,104,2,93,34,14,21,47,22,44
0,2,86,81,4,14,73,74,5,98,68
1,62,25,71,72,46,68,63,74,34,109
0,75,68,46,107,72,73,100,93,9,61
1,36,76,7,19,91,51,93,34,73,30
1,71,59,95,21,7,69,31,39,8,55
1,106,84,102,50,1,21,2,22,14,42
1,9,7,32,93,21,39,69,26,78,42
1,68,100,47,1,62,42,3,59,22,21
0,87,39,85,74,62,109,7,98,75,26
1,21,23,109,43,104,87,72,106,102,1
1,32,70,36,46,11,69,74,90,44,98
0,102,104,77,28,53,106,93,62,69,75
1,86,1,102,46,71,67,111,62,75,47
0,106,100,9,14,62,35,90,28,69,74
1,53,5,46,4,42,32,6,22,60,28
0,48,50,46,75,2,22,71,11,36,100
1,60,67,50,34,99,18,100,73,7,13
0,76,9,83,101,73,50,26,18,21,74
1,112,50,109,74,8,85,11,75,69,5
0,98,74,58,28,75,26,93,32,11,14
1,84,42,11,20,99,30,35,9,46,54
1,7,89,86,39,81,97,98,11,16,93
0,21,86,72,74,52,100,45,12,14,30
0,7,110,93,21,69,57,44,51,71,46
0,70,72,71,11,25,35,110,61,87,67
1,42,104,11,4,30,100,57,93,39,53
1,62,51,18,84,25,44,99,32,14,75
0,21,59,99,44,30,41,68,75,26,73
1,40,56,1,69,22,30,8,26,63,21
1,110,48,30,27,102,8,19,26,21,41
0,28,86,67,16,23,106,89,9,51,31
1,109,1,70,85,25,12,61,73,59,36
1,76,83,74,44,16,39,55,14,70,41
1,69,30,39,42,29,36,1,57,13,48
0,32,52,29,20,73,35,98,65,109,31
0,25,71,53,26,42,44,75,21,59,33
0,44,53,26,46,93,31,20,42,70,45
0,97,19,64,94,33,99,68,42,39,86
1,102,93,39,7,23,21,18,57,99,36
1,21,93,37,69,47,28,14,71,11,16
1,112,35,106,1,87,11,31,16,83,93
0,74,69,56,23,27,21,50,71,40,94
0,62,112,28,21,109,87,3,7,70,39
0,72,51,91,99,92,21,7,67,62,19
0,39,12,25,86,51,50,28,80,101,64
